status,display_name,first_name,last_name,esb_id,gsis_id,suffix,birth_date,college_name,position_group,position,jersey_number,height,weight,years_of_experience,team_abbr,team_seq,current_team_id,football_name,entry_year,rookie_year,draft_club,college_conference,status_description_abbr,status_short_description,gsis_it_id,short_name,smart_id,headshot,draft_number,uniform_number,draft_round,season
U01,A.J. Green,Adriel,Green,GRE034604,00-0027942,,31-07-1988,Georgia,WR,WR,18,76,210,10,ARI,1,3800,A.J.,2011,2011,CIN,Southeastern Conference,U01,R/UFA,37077,A.Green,32004752-4503-4604-5592-82f254d9dbee,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/guj5a9vnnzqfiljupzuj",4,18,,
CUT,A.J. Richardson,A.J.,Richardson,RIC368740,00-0035491,,02-06-1995,Boise State,WR,WR,83,72,212,1,ARI,1,3800,A.J.,2019,2019,,Mountain West Conference,W03,Waivers/No Rec.,48636,A.Richardson,32005249-4336-8740-9a57-c2e5cd0126c6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yfhvr21jrwhghwbryw7j",,83,,
ACT,Aaron Brewer,Aaron,Brewer,BRE611741,00-0028946,,05-07-1990,San Diego State,SPEC,LS,46,77,232,12,ARI,1,3800,Aaron,2012,2012,,Mountain West Conference,A01,Active,38897,A.Brewer,32004252-4561-1741-8e18-114a5262818a,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ucler6ntdjjiiuwlo87d",,46,,
CUT,Aaron Dobson,Aaron,Dobson,DOB744752,00-0030540,,23-07-1991,Marshall,WR,WR,83,75,205,4,ARI,1,3800,Aaron,2013,2013,NE,Conference USA,A01,Active,40007,A.Dobson,3200444f-4274-4752-fb84-145491357fd6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/es1l8zn20xgfxqh8ophi",59,,,
RET,Aaron Epps,Aaron,Epps,EPP246743,00-0032948,,,,OL,OT,,78,305,0,ARI,,3800,,,,,,,,,,32004550-5024-6743-a324-eba67ddad77b,,,,,
RET,Aaron Nichols,Aaron,Nichols,NIC138477,00-0028735,,,,WR,WR,13,72,185,0,ARI,,3800,,,,,,,,,,32004e49-4313-8477-1ab2-b4d185273fb3,,,,,
RET,Aaron Rouse,Aaron,Rouse,ROU320232,00-0025476,,,,DB,DB,26,76,227,4,ARI,,3800,,,,,,,,,,3200524f-5532-0232-8ca9-a37afa8a7570,,,,,
RET,Adam Bice,Adam,Bice,BIC201270,00-0030397,,,,OL,C,68,76,302,0,ARI,,3800,,,,,,,,,,32004249-4320-1270-877a-fd96edf4b2fc,,,,,
RET,Adrian Mayes,Adrian,Mayes,MAY337636,00-0022386,,,,DB,DB,37,73,215,2,ARI,,3800,,,,,,,,,,32004d41-5933-7636-4b91-f32d61eb710f,,,,,
RET,Adrian Tracy,Adrian,Tracy,TRA091822,00-0027782,,,,LB,LB,47,74,248,3,ARI,,3800,,,,,,,,,,32005452-4109-1822-482d-75c2607b6e6d,,,,,
RET,Ahmad Merritt,Ahmad,Merritt,MER572803,00-0019510,,,,WR,WR,86,70,197,5,ARI,,3800,,,,,,,,,,32004d45-5257-2803-1f28-54134b26d339,,,,,
CUT,Airius Moore,Airius,Moore,MOO131210,00-0034711,,14-11-1995,North Carolina State,LB,LB,50,71,230,0,ARI,1,3800,Airius,2018,2018,,Atlantic Coast Conference,A01,Active,46892,A.Moore,32004d4f-4f13-1210-fa39-65bdaff9e37f,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dmfbij9lkqnwlfbuzc52",,,,
RET,Alan Ball,Alan,Ball,BAL451070,00-0025624,,,,DB,DB,24,74,195,9,ARI,,3800,,,,,,,,,,32004241-4c45-1070-2baf-7a29b2680c0a,,,,,
RET,Alan Faneca,Alan,Faneca,FAN049971,00-0005058,,,,OL,G,66,77,316,13,ARI,,3800,,,,,,,,,,32004641-4e04-9971-c500-ee40b2060be3,,,,,
CUT,Alani Fua,Alani,Fua,FUA016162,00-0031702,,01-01-1992,Brigham Young,LB,LB,59,77,234,3,ARI,1,3800,Alani,2015,2015,,Independent,R34,R/I-W/I; Not 90,42733,A.Fua,32004655-4101-6162-5b43-45c1bf9b567a,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tlq2f4zrors3crml6j0k",,,,
CUT,Alec Bloom,Alec,Bloom,BLO252549,00-0034472,,03-04-1996,Connecticut,TE,TE,87,78,253,0,ARI,1,3800,Alec,2018,2018,,American Athletic Conference,A01,Active,46656,A.Bloom,3200424c-4f25-2549-f969-67f944e5490f,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rkg0obvol6znrhyaugvy",,,,
CUT,Aleva Hifo,Aleva,Hifo,HIF415291,00-0035884,,,Brigham Young,WR,WR,84,70,187,0,ARI,,3800,Aleva,2020,2020,,Independent,W03,Waivers/No Rec.,52786,A.Hifo,,,,84,,2020
CUT,Alex Bazzie,Alex,Bazzie,BAZ811707,00-0033188,,05-08-1990,Marshall,LB,LB,54,74,240,1,ARI,1,3800,Alex,2017,2017,,Conference USA,A01,Active,42036,A.Bazzie,32004241-5a81-1707-f502-c58047ca8313,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x29fejdvvrjso1bejnxx",,,,
RES,Alex Ellis,Alexander,Ellis,ELL403440,00-0032864,,10-02-1993,Tennessee,TE,TE,36,76,245,3,ARI,1,3800,Alex,2016,2016,,Southeastern Conference,R42,R/NFIN; Not 90,43931,A.Ellis,3200454c-4c40-3440-7dc1-4f180cb5fb6e,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cnnffo0p74ph8slvtasw",,36,,
RET,Alex Gottlieb,Alex,Gottlieb,GOT599685,00-0029228,,,,TE,TE,80,76,255,1,ARI,,3800,,,,,,,,,,3200474f-5459-9685-71e2-5911179dcea5,,,,,
RET,Alex Shor,Alex,Shor,SHO576787,00-0023951,,,,TE,TE,,80,255,1,ARI,,3800,,,,,,,,,,32005348-4f57-6787-cc63-7e3c3d5d1ba6,,,,,
RET,Ali Highsmith,Ali,Highsmith,HIG617342,00-0025932,,,,LB,ILB,95,73,230,2,ARI,,3800,,,,,,,,,,32004849-4761-7342-ff1f-459f2078a354,,,,,
RET,Alton Moore,Alton,Moore,MOO170718,00-0021059,,,,DL,DE,69,78,255,0,ARI,,3800,,,,,,,,,,32004d4f-4f17-0718-ff94-cd8df5ffb9d5,,,,,
RET,Amir Carlisle,Amir,Carlisle,CAR106626,00-0032487,,,,WR,WR,81,70,195,0,ARI,,3800,,,,,,,,,,32004341-5210-6626-94c3-66cb25374acc,,,,,
