Unnamed: 0,position_group,position,height,weight,years_of_experience,team_abbr,entry_year,rookie_year,BMI
1,WR,WR,76,210,10.496714153011233,ARI,2011,2011,27.5927318627966
2,WR,WR,72,212,0.8617356988288154,ARI,2019,2019,19.789040599612136
3,SPEC,LS,77,232,12.647688538100692,ARI,2012,2012,30.413345921351137
4,WR,WR,75,205,5.523029856408026,ARI,2013,2013,25.6113071547057
12,LB,LB,71,230,-0.23415337472333597,ARI,2018,2018,22.041383694772993
15,LB,LB,77,234,2.7658630430508193,ARI,2015,2015,23.340511817687652
16,TE,TE,78,253,1.5792128155073915,ARI,2018,2018,24.371899591085363
17,WR,WR,70,187,0.7674347291529088,ARI,2020,2020,21.76194464508054
18,LB,LB,74,240,0.5305256140650478,ARI,2017,2017,18.501439695364592
19,TE,TE,76,245,3.5425600435859645,ARI,2016,2016,24.181069039210893
26,WR,WR,70,175,1.5365823071875377,ARI,2020,2020,18.34065230828472
27,DL,DE,77,263,7.5342702464297435,ARI,2012,2012,27.9815304342836
28,DB,SS,72,195,3.241962271566034,ARI,2018,2018,22.31077312953095
33,SPEC,P,73,185,15.086719755342202,ARI,2004,2004,32.88742453857114
46,DB,CB,72,190,6.275082167486968,ARI,2016,2016,29.020707480290085
47,DL,DT,73,318,2.437712470759027,ARI,2016,2016,21.80890133899532
49,DL,DE,72,246,7.987168879665576,ARI,2010,2010,29.71353073279014
50,WR,WR,77,228,3.314247332595274,ARI,2018,2018,23.453193999444384
51,WR,WR,75,190,-0.9080240755212109,ARI,2018,2018,24.870772751266326
52,LB,OLB,75,250,-1.4123037013352915,ARI,2023,2023,20.281082182668868
53,OL,T,79,320,2.465648768921554,ARI,2020,2020,22.044968167231705
56,DB,CB,71,195,6.774223699513464,ARI,2014,2014,28.11643349045
58,TE,TE,77,255,1.0675282046879238,ARI,2016,2016,21.875690284034274
61,DL,DT,76,293,0.5752518137865432,ARI,2022,2022,20.719777241392563
62,TE,TE,77,262,0.45561727547481734,ARI,2021,2021,21.36325239142479
67,OL,OT,78,330,1.110922589709866,ARI,2015,2015,22.688432748430902
69,TE,TE,76,243,-1.1509935774223028,ARI,2023,2023,23.878664758294097
70,DB,FS,76,205,4.3756980183456715,ARI,2020,2020,21.194813121922817
78,WR,WR,74,215,0.399361310081195,ARI,2021,2021,22.32571423495768
80,OL,C,76,315,0.7083062502067232,ARI,2021,2021,23.745621564452794
82,WR,WR,74,202,-0.6017066122293969,ARI,2023,2023,21.965702521423015
85,OL,G,76,320,9.852278184508938,ARI,2013,2013,31.516325068023324
93,TE,TE,78,260,0.9865027752620661,ARI,2016,2016,22.541861283166398
94,DL,OLB,77,235,0.9422890710440996,ARI,2016,2016,22.29049946535898
95,LB,LB,76,242,0.822544912103189,ARI,2020,2020,23.76044053249892
96,DB,SS,70,195,5.779156350028978,ARI,2017,2017,26.244037074922982
98,WR,WR,70,195,0.2088635950047554,ARI,2018,2018,21.365387039942387
102,LB,OLB,77,270,0.04032987612022443,ARI,2022,2022,23.060518992456917
103,DL,DE,75,249,0.6718139511015695,ARI,2015,2015,21.165213179337808
107,DL,DE,75,297,7.1968612358691235,ARI,2017,2017,25.815448561069733
109,QB,QB,77,235,15.73846657999541,ARI,2003,2003,31.96093856246556
111,OL,T,78,315,2.1713682811899706,ARI,2020,2020,26.226096117165795
123,TE,TE,75,246,9.884351717611759,ARI,2011,2011,22.477013490356804
125,DB,FS,70,192,3.6988963044107113,ARI,2016,2016,25.380425082613385
130,DB,FS,70,207,5.521478009632572,ARI,2013,2013,25.933578235143244
131,TE,TE,76,250,-0.7198442083947086,ARI,2017,2018,18.134368135647463
134,WR,WR,69,170,0.5393612290402126,ARI,2016,2016,22.99700641860015
136,RB,RB,71,203,11.057122226218915,ARI,2008,2008,30.691489542016303
142,DB,CB,76,200,2.3436182895684614,ARI,2022,2022,24.819811265412724
146,QB,QB,75,220,-1.763040155362734,ARI,2023,2023,15.462215765156188
148,DL,DT,74,297,11.324083969394795,ARI,2009,2009,32.65963760228523
150,OL,C,77,295,0.6149177195836835,ARI,2020,2020,20.9549689943389
151,QB,QB,76,220,-0.6769220003059587,ARI,2020,2020,22.899290093292183
153,QB,QB,73,212,14.611676288840869,ARI,2010,2010,33.71032096355318
155,RB,RB,70,220,8.03099952249595,ARI,2017,2017,25.86830549450858
156,WR,WR,70,182,0.9312801191161986,ARI,2018,2018,23.972815988084438
161,RB,RB,72,205,4.160782476777362,ARI,2016,2016,24.141561251919434
162,OL,T,77,307,8.690787624148786,ARI,2015,2015,23.940796978227837
169,WR,WR,76,215,0.33126343140356396,ARI,2023,2023,24.56736825303805
170,WR,WR,70,185,1.9755451271223592,ARI,2016,2016,21.83279166295317
173,LB,LB,75,240,-0.47917423784528995,ARI,2019,2019,19.955591108032188
175,DL,DE,76,285,-0.18565897666381712,ARI,2023,2023,21.063906980261887
176,DL,DT,75,312,3.893665025993972,ARI,2015,2015,25.270038968850557
177,RB,RB,68,209,-0.1962066240806708,ARI,2017,2017,21.748114541499326
184,DB,CB,73,205,7.812525822394198,ARI,2013,2013,28.56490192509028
186,LB,OLB,75,249,3.3562400285708227,ARI,2022,2022,21.67038928694226
189,DL,DT,73,311,0.9279898784196662,ARI,2016,2016,21.164820174032297
191,DL,DT,74,317,5.003532897892024,ARI,2015,2015,25.27047888388135
192,WR,WR,71,195,2.361636025047634,ARI,2019,2019,27.448919802850753
193,DB,DB,71,192,-0.6451197546051243,ARI,2017,2017,21.3207910949489
196,DB,CB,70,189,2.361395605508414,ARI,2018,2018,25.82342145117915
197,TE,TE,79,230,8.53803656646597,ARI,2013,2013,28.05373593409481
198,OL,T,78,324,4.964173960890048,ARI,2019,2019,24.5076044977479
200,LB,OLB,72,232,7.564643655814006,ARI,2018,2018,26.801801710840923
203,TE,TE,76,255,0.38025489591025563,ARI,2018,2018,21.929339003079416
207,RB,FB,72,233,6.821902504375224,ARI,2012,2012,27.98262323098413
210,OL,T,78,288,2.087047068238171,ARI,2018,2018,26.210155482919827
215,DB,CB,72,195,-0.29900735046586746,ARI,2023,2023,22.510056550046535
216,DL,NT,75,325,15.091760776535502,ARI,2006,2006,34.938387901058356
219,LB,ILB,73,210,-1.9875689146008928,ARI,2020,2020,18.679122284520005
220,RB,RB,71,201,-0.21967188783751193,ARI,2019,2019,21.01696866088568
221,QB,QB,76,221,0.3571125715117464,ARI,2019,2019,20.80137373164289
227,DB,CB,73,195,2.4778940447415163,ARI,2019,2019,24.363415013068767
229,DL,DE,78,290,0.4817297817263526,ARI,2013,2013,21.61929407684962
234,TE,TE,75,234,-0.8084936028931876,ARI,2023,2023,22.89360035204316
235,OL,G,78,329,6.498242956415464,ARI,2017,2017,24.68676664622594
237,RB,RB,71,210,0.9154021177020741,ARI,2023,2023,22.726843429034016
241,DL,DT,76,270,2.3287511096596845,ARI,2020,2020,25.00384159878629
248,LB,LB,75,245,-0.5297602037670388,ARI,2020,2020,17.49856230728185
250,LB,ILB,74,214,6.513267433113356,ARI,2018,2018,30.802549817839754
257,LB,ILB,74,236,3.0970775493480405,ARI,2015,2015,23.601650514783877
260,DB,CB,72,189,0.9686449905328892,ARI,2023,2023,18.627971666020677
262,TE,TE,76,260,8.297946906122647,ARI,2015,2015,28.124750631439422
263,TE,TE,75,250,2.6723378534022317,ARI,2015,2015,23.93752343332786
264,LB,ILB,74,236,5.607891846867842,ARI,2013,2013,25.761735533662502
266,WR,WR,67,173,1.5364850518678814,ARI,2019,2019,25.05792176216085
269,WR,WR,74,220,5.296120277064576,ARI,2011,2011,27.202174136799314
271,OL,OG,78,325,1.2610552721798893,ARI,2017,2017,23.47849107257361
274,OL,G,74,292,1.0051134566424609,ARI,2022,2022,23.603890687543018
277,OL,C,77,310,4.765412866624853,ARI,2019,2019,25.127072107761226
278,SPEC,LS,75,240,1.5846292579495858,ARI,2018,2018,26.66022217904481
280,OL,T,77,305,2.579354677234641,ARI,2015,2015,20.847156237348717
281,TE,TE,79,255,3.6572854834732307,ARI,2013,2013,24.839403186863056
282,OL,G,76,295,-0.8022772692216189,ARI,2023,2023,21.568455173922427
285,WR,WR,74,204,1.8387142883339909,ARI,2017,2017,24.913660813962977
286,WR,WR,73,200,0.4040508568145384,ARI,2019,2019,20.595127844920377
287,LB,OLB,75,254,5.88618590121053,ARI,2017,2017,22.6329849260543
290,DL,DE,77,288,10.174577812831838,ARI,2011,2011,29.435850501178674
296,DL,DE,77,288,9.257550390722765,ARI,2012,2012,29.042746257943143
297,OL,T,79,302,4.925554084233832,ARI,2019,2019,28.42708667785898
298,OL,C,74,294,-0.9187712152990415,ARI,2018,2018,18.8161360566405
299,DL,DT,76,305,-0.026513875449216878,ARI,2023,2023,24.29082782061899
304,RB,RB,68,220,1.0602302099410263,ARI,2016,2016,27.47698987501296
305,DB,FS,71,190,7.463242112485286,ARI,2019,2019,26.468739703694744
308,DL,DE,80,255,-0.19236096478112252,ARI,2019,2019,19.283462885666765
309,RB,RB,73,233,7.301547342333612,ARI,2017,2017,26.297134406886787
313,QB,QB,76,213,-0.03471176970524331,ARI,2020,2020,22.003711695949093
315,LB,LB,77,248,-1.168678037619532,ARI,2019,2019,22.309501123680157
322,WR,WR,75,204,9.142822814515021,ARI,2013,2013,27.21718651048442
324,LB,LB,75,248,5.751933032686774,ARI,2013,2013,29.136750191175427
332,DL,NT,75,325,0.7910319470430469,ARI,2019,2019,20.324657732914012
333,DB,DB,72,215,-0.9093874547947389,ARI,2020,2020,17.885018477298082
339,RB,RB,72,225,4.402794310936099,ARI,2018,2018,27.295376866229905
341,QB,QB,76,235,6.5981489372077196,ARI,2016,2016,22.069462193633004
346,LB,OLB,72,230,3.5868570938002704,ARI,2016,2016,24.102540427914757
348,WR,WR,72,215,7.190455625809978,ARI,2011,2011,33.26868119648308
349,OL,G,77,300,2.0094636748693118,ARI,2013,2014,23.382537466488653
350,TE,TE,77,260,9.433702270397228,ARI,2010,2010,26.36205628788556
354,LB,OLB,75,242,2.099651365087641,ARI,2022,2022,23.354961027987763
355,DL,DE,75,240,-0.5034756541161992,ARI,2020,2020,21.545965464879593
357,TE,TE,77,255,6.449336568933868,ARI,2010,2010,26.835835478959943
360,OL,T,77,326,8.068562974806028,ARI,2011,2011,28.97252004668346
362,SPEC,LS,77,240,-0.06230371372610488,ARI,2017,2017,19.878165063656247
365,LB,ILB,74,236,5.473592430635182,ARI,2016,2016,29.206610811918214
367,TE,TE,78,260,-0.9194242342338032,ARI,2023,2023,21.84663160478157
378,TE,TE,77,251,11.54993440501754,ARI,2009,2009,31.538542176315886
379,DB,CB,71,185,14.216746707663763,ARI,2006,2006,30.69542389585335
382,OL,G,76,300,-0.3220615162056756,ARI,2023,2023,24.347321212647092
384,DL,DE,76,280,3.81351721736967,ARI,2019,2019,24.155357234532637
386,OL,OT,77,313,-1.2308643164339552,ARI,2017,2017,21.693500005483294
387,DB,CB,70,188,1.2274599346041295,ARI,2017,2017,20.99300979984867
390,DB,CB,74,190,3.3071427542824283,ARI,2019,2019,22.321136675193447
392,TE,TE,79,262,1.3925167654387725,ARI,2013,2013,24.351172348712907
